AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: NiKo | Берлин 2019,1.69
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Расколотая сеть, Высший разум, Золотая сеть, Один укус",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Boom | РМР 2020, FURIA | РМР 2020",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.67
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | РМР 2020, RpK | Берлин 2019",1.69
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Ветеран нарковойн,1.62
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: MIBR (голографическая) | Катовице 2019, MIBR (голографическая) | Лондон 2018",1.58
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Позолоченный волнолов",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Код от бомбы, fer | Бостон 2018",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: NiKo | Берлин 2019,1.69
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Расколотая сеть, Высший разум, Золотая сеть, Один укус",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Renegades | Стокгольм 2021, Vitality | РМР 2020, Vitality | РМР 2020, Vitality | РМР 2020",1.55
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Древний защитник,1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: nicoodoz (блёстки) | Антверпен 2022, nicoodoz (блёстки) | Антверпен 2022, nicoodoz (блёстки) | Антверпен 2022, nicoodoz (блёстки) | Антверпен 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, FURIA | Антверпен 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: GODSENT | РМР 2020, Fnatic | РМР 2020, Nemiga | РМР 2020, Astralis | РМР 2020",1.66
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | РМР 2020, FURIA | Антверпен 2022, Copenhagen Flames (блёстки) | Антверпен 2022, ENCE | Рио 2022",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Беги, спецназ, беги, Virtus.Pro | Стокгольм 2021, Змеиная атака, Лазерный луч",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: GODSENT (голографическая) | РМР 2020,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas (голографическая) | РМР 2020, 100 Thieves (голографическая) | РМР 2020, Evil Geniuses (голографическая) | РМР 2020, 100 Thieves (голографическая) | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Мастер Чиф (металлическая), s1mple | Стокгольм 2021, Токсичность (металлическая), Зелёный смертоносец",1.61
