,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
21,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Vitality | РМР 202021,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Vitality | РМР 2020,,,,1.4
22,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: OG (голографическая) | РМР 2020, Natus Vincere | РМР 202022",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | OG (голографическая) | РМР 2020,Наклейка | Natus Vincere | РМР 2020,,,1.4
23,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: draken | Лондон 201823,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | draken | Лондон 2018,,,,1.4
24,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Heroic | РМР 2020, Renegades | Антверпен 2022, Heroic | РМР 2020, s1mple | Стокгольм 202124",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Heroic | РМР 2020,Наклейка | Renegades | Антверпен 2022,Наклейка | Heroic | РМР 2020,Наклейка | s1mple | Стокгольм 2021,1.4
25,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: FURIA | РМР 2020, Кроха Огненный змей25",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | FURIA | РМР 2020,Наклейка | Кроха Огненный змей,,,1.41
26,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: FURIA | РМР 2020, Кроха Огненный змей26",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | FURIA | РМР 2020,Наклейка | Кроха Огненный змей,,,1.42
27,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Gen.G | РМР 2020, Gen.G | РМР 2020, Gen.G | РМР 202027",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Gen.G | РМР 2020,Наклейка | Gen.G | РМР 2020,Наклейка | Gen.G | РМР 2020,,1.42
28,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Ninjas in Pyjamas (голографическая) | РМР 2020, 100 Thieves (голографическая) | РМР 2020, Gen.G (голографическая) | РМР 202028",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Ninjas in Pyjamas (голографическая) | РМР 2020,Наклейка | 100 Thieves (голографическая) | РМР 2020,Наклейка | Gen.G (голографическая) | РМР 2020,,1.41
29,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Boombl4 | Стокгольм 2021, s1mple | Стокгольм 2021, electroNic | Стокгольм 2021, Perfecto | Стокгольм 202129",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Boombl4 | Стокгольм 2021,Наклейка | s1mple | Стокгольм 2021,Наклейка | electroNic | Стокгольм 2021,Наклейка | Perfecto | Стокгольм 2021,1.41
30,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Fnatic | РМР 2020, Fnatic | РМР 2020, Fnatic | РМР 2020, Fnatic | РМР 202030",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Fnatic | РМР 2020,Наклейка | Fnatic | РМР 2020,Наклейка | Fnatic | РМР 2020,Наклейка | Fnatic | РМР 2020,1.41
31,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: PGL | Стокгольм 2021, PGL | Стокгольм 2021, PGL | Стокгольм 2021, PGL | Стокгольм 202131",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | PGL | Стокгольм 2021,Наклейка | PGL | Стокгольм 2021,Наклейка | PGL | Стокгольм 2021,Наклейка | PGL | Стокгольм 2021,1.41
