,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
79,"AWP | Боец (Немного поношенное)Наклейка: Завоеватель, Козырные тузы, Чертова дюжина (металлическая)79",AWP | Боец (Немного поношенное),Наклейка | Завоеватель,Наклейка | Козырные тузы,Наклейка | Чертова дюжина (металлическая),,61.19
80,"AWP | Боец (Немного поношенное)Наклейка: Virtus.Pro | Краков 2017, flusha | Колумбус 2016, Team EnVyUs | MLG Columbus 2016, Fnatic | Атланта 201780",AWP | Боец (Немного поношенное),Наклейка | Virtus.Pro | Краков 2017,Наклейка | flusha | Колумбус 2016,Наклейка | Team EnVyUs | MLG Columbus 2016,Наклейка | Fnatic | Атланта 2017,61.19
81,"AWP | Боец (Немного поношенное)Наклейка: Дьявольский туз (металлическая), История о драконе (голографическая), Каменная чешуя (металлическая), DickStacy | Катовице 201981",AWP | Боец (Немного поношенное),Наклейка | Дьявольский туз (металлическая),Наклейка | История о драконе (голографическая),Наклейка | Каменная чешуя (металлическая),Наклейка | DickStacy | Катовице 2019,61.19
82,AWP | Боец (Немного поношенное)Наклейка: kennyS | Кёльн 201582,AWP | Боец (Немного поношенное),Наклейка | kennyS | Кёльн 2015,,,,59.62
83,AWP | Боец (Немного поношенное)Наклейка: Skadoodle | Кёльн 201583,AWP | Боец (Немного поношенное),Наклейка | Skadoodle | Кёльн 2015,,,,60.00
84,"AWP | Боец (Немного поношенное)Наклейка: Спецназ в банане, G2 Esports (голографическая) | Лондон 2018, NBK- | Атланта 201784",AWP | Боец (Немного поношенное),Наклейка | Спецназ в банане,Наклейка | G2 Esports (голографическая) | Лондон 2018,Наклейка | NBK- | Атланта 2017,,63.86
85,AWP | Боец (Немного поношенное)Наклейка: Aleksib | Берлин 201985,AWP | Боец (Немного поношенное),Наклейка | Aleksib | Берлин 2019,,,,67.12
86,"AWP | Боец (Немного поношенное)Наклейка: Team Dignitas (металлическая) | Кёльн 2016, Natus Vincere | Бостон 2018, Team EnVyUs | MLG Columbus 201686",AWP | Боец (Немного поношенное),Наклейка | Team Dignitas (металлическая) | Кёльн 2016,Наклейка | Natus Vincere | Бостон 2018,Наклейка | Team EnVyUs | MLG Columbus 2016,,61.77
87,"AWP | Боец (Немного поношенное)Наклейка: Страна AWP, Natus Vincere | Бостон 2018, s1mple | Бостон 201887",AWP | Боец (Немного поношенное),Наклейка | Страна AWP,Наклейка | Natus Vincere | Бостон 2018,Наклейка | s1mple | Бостон 2018,,65.00
88,"AWP | Боец (Немного поношенное)Наклейка: Страна AWP, Natus Vincere | Бостон 2018, s1mple | Бостон 201888",AWP | Боец (Немного поношенное),Наклейка | Страна AWP,Наклейка | Natus Vincere | Бостон 2018,Наклейка | s1mple | Бостон 2018,,65.00
89,"AWP | Боец (Немного поношенное)Наклейка: GODSENT | Стокгольм 2021, GODSENT | Стокгольм 2021, Team Liquid (голографическая) | Стокгольм 2021, GODSENT | Стокгольм 202189",AWP | Боец (Немного поношенное),Наклейка | GODSENT | Стокгольм 2021,Наклейка | GODSENT | Стокгольм 2021,Наклейка | Team Liquid (голографическая) | Стокгольм 2021,Наклейка | GODSENT | Стокгольм 2021,67.92
90,"AWP | Боец (Немного поношенное)Наклейка: s1mple | Бостон 2018, Skadoodle (металлическая) | Бостон 2018, Titan | Кёльн 2015, Titan | Кёльн 201590",AWP | Боец (Немного поношенное),Наклейка | s1mple | Бостон 2018,Наклейка | Skadoodle (металлическая) | Бостон 2018,Наклейка | Titan | Кёльн 2015,Наклейка | Titan | Кёльн 2015,66.15
